team_code,team_name_en,team_name_ko,confed,is_host,seeding_pot,group_letter,notes
MEX,Mexico,멕시코,CONCACAF,1,1,A,
RSA,South Africa,남아프리카공화국,CAF,0,3,A,
KOR,South Korea,대한민국,AFC,0,2,A,
EPLD,European Playoff D winner,유럽 PO D 승자,UEFA,0,4,A,UEFA playoff D
CAN,Canada,캐나다,CONCACAF,1,1,B,
EPLA,European Playoff A winner,유럽 PO A 승자,UEFA,0,4,B,UEFA playoff A
QAT,Qatar,카타르,AFC,0,3,B,
SUI,Switzerland,스위스,UEFA,0,2,B,
BRA,Brazil,브라질,CONMEBOL,0,1,C,
MAR,Morocco,모로코,CAF,0,2,C,
HAI,Haiti,아이티,CONCACAF,0,4,C,
SCO,Scotland,스코틀랜드,UEFA,0,3,C,
USA,United States,미국,CONCACAF,1,1,D,
PAR,Paraguay,파라과이,CONMEBOL,0,3,D,
AUS,Australia,호주,AFC,0,2,D,
EPLC,European Playoff C winner,유럽 PO C 승자,UEFA,0,4,D,UEFA playoff C
GER,Germany,독일,UEFA,0,1,E,
CUW,Curaçao,퀴라소,CONCACAF,0,4,E,
CIV,Ivory Coast,코트디부아르,CAF,0,3,E,
ECU,Ecuador,에콰도르,CONMEBOL,0,2,E,
NED,Netherlands,네덜란드,UEFA,0,1,F,
JPN,Japan,일본,AFC,0,2,F,
EPLB,European Playoff B winner,유럽 PO B 승자,UEFA,0,4,F,UEFA playoff B
TUN,Tunisia,튀니지,CAF,0,3,F,
BEL,Belgium,벨기에,UEFA,0,1,G,
EGY,Egypt,이집트,CAF,0,3,G,
IRN,Iran,이란,AFC,0,2,G,
NZL,New Zealand,뉴질랜드,OFC,0,4,G,
ESP,Spain,스페인,UEFA,0,1,H,
CPV,Cape Verde,카보베르데,CAF,0,4,H,
KSA,Saudi Arabia,사우디아라비아,AFC,0,3,H,
URU,Uruguay,우루과이,CONMEBOL,0,2,H,
FRA,France,프랑스,UEFA,0,1,I,
SEN,Senegal,세네갈,CAF,0,2,I,
ICP2,Intercontinental Playoff Tournament 2 winner,대륙간 PO 2 승자,INT,0,4,I,Intercontinental PO 2
NOR,Norway,노르웨이,UEFA,0,3,I,
ARG,Argentina,아르헨티나,CONMEBOL,0,1,J,
ALG,Algeria,알제리,CAF,0,3,J,
AUT,Austria,오스트리아,UEFA,0,2,J,
JOR,Jordan,요르단,AFC,0,4,J,
POR,Portugal,포르투갈,UEFA,0,1,K,
ICP1,Intercontinental Playoff Tournament 1 winner,대륙간 PO 1 승자,INT,0,4,K,Intercontinental PO 1
UZB,Uzbekistan,우즈베키스탄,AFC,0,3,K,
COL,Colombia,콜롬비아,CONMEBOL,0,2,K,
ENG,England,잉글랜드,UEFA,0,1,L,
CRO,Croatia,크로아티아,UEFA,0,2,L,
GHA,Ghana,가나,CAF,0,4,L,
PAN,Panama,파나마,CONCACAF,0,3,L,

